ANO_ELEICAO_ANALISE,ESFERA,tipo_despesa,variavel,n_eleitos,n_derrotados,media_eleitos,media_derrotados,diferenca_media,teste,estatistica,p_valor
2014,estadual,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",pct_despesa_tipo,33,542,0.01957613226623763,0.06541386609841546,-0.04583773383217783,t_welch,-5.395749346976918,1.7878742265468444e-07
2014,estadual,"Publicidade por placas, estandartes e faixas",pct_despesa_tipo,33,542,0.05806115230712605,0.01647832564408772,0.041582826663038336,t_welch,3.02318444832495,0.004639734474306361
2014,estadual,Combustiveis e lubrificantes,pct_despesa_tipo,33,542,0.06175325134976733,0.024471762843389207,0.03728148850637812,t_welch,4.692303270120735,2.9039175381730878e-05
2014,estadual,Cessao ou locacao de veiculos,pct_despesa_tipo,33,542,0.03167673783506121,0.012774543963717777,0.018902193871343433,t_welch,2.054670219107483,0.04665547015026527
2014,estadual,"Baixa de Estimaveis - Publicidade por placas, estandartes e faixas",pct_despesa_tipo,33,542,0.01791613197576184,0.034332513062775474,-0.016416381087013633,t_welch,-2.0506299446908303,0.043085045968542846
2014,estadual,Locacao/cessao de bens imoveis,pct_despesa_tipo,33,542,0.015396695904525344,0.003018205252263734,0.01237849065226161,t_welch,3.34189917925743,0.0019935667235609043
2014,federal,Baixa de Estimaveis - Servicos prestados por terceiros,pct_despesa_tipo,8,242,0.0058832783540745375,0.16827963706045046,-0.16239635870637592,t_welch,-7.839101003983681,1.3737673721186738e-13
2014,federal,Publicidade por materiais impressos,pct_despesa_tipo,8,242,0.26167702646098445,0.11497686324160147,0.14670016321938298,t_welch,3.2670040653181958,0.010602840398324454
2014,federal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",pct_despesa_tipo,8,242,0.014907424684431687,0.07861428051085133,-0.06370685582641963,t_welch,-4.404613167580917,1.7850494562817786e-05
2014,federal,Baixa de Estimaveis - Diversas a especificar,pct_despesa_tipo,8,242,1.1995411802967012e-05,0.01565952876394096,-0.015647533352137994,t_welch,-2.398771553106615,0.017211036741859934
2014,federal,"Producao de programas de radio, televisao ou video",pct_despesa_tipo,8,242,0.0,0.0025415920439393696,-0.0025415920439393696,t_welch,-2.3713471018693664,0.01851041031188908
2014,federal,"Encargos financeiros, taxas bancarias e/ou op. cartao de credito",pct_despesa_tipo,8,242,0.0005770146104114385,0.0015878804545261759,-0.0010108658441147374,t_welch,-2.027157830334584,0.04396735257367595
2014,federal,"Baixa de Estimaveis - Producao de jingles, vinhetas e slogans",pct_despesa_tipo,8,242,0.0,0.0006370744601478018,-0.0006370744601478018,t_welch,-2.1588029234323143,0.03185302350256243
2018,estadual,Publicidade por materiais impressos,pct_despesa_tipo,21,629,0.36970479494185493,0.12616285354004636,0.24354194140180857,t_welch,4.566260015875859,0.00015996187704150233
2018,estadual,Despesas com pessoal,pct_despesa_tipo,21,629,0.033699125399926304,0.09099491944030814,-0.05729579404038184,t_welch,-3.1145297138847807,0.003533161137213633
2018,estadual,"Encargos financeiros, taxas bancarias e/ou op. cartao de credito",pct_despesa_tipo,21,629,0.001503492439080075,0.013222073615401403,-0.011718581176321328,t_welch,-2.7619254646919167,0.005910655560357483
2018,estadual,"Impostos, contribuicoes e taxas",pct_despesa_tipo,21,629,0.0,6.751768063645651e-05,-6.751768063645651e-05,t_welch,-1.975554518158788,0.04864263194010684
2018,federal,Publicidade por materiais impressos,pct_despesa_tipo,16,286,0.32414543778988186,0.17588464183570124,0.14826079595418062,t_welch,2.924044366244686,0.008677568550446192
2018,federal,Publicidade por adesivos,pct_despesa_tipo,16,286,0.12312364780786292,0.031490902338566384,0.09163274546929653,t_welch,3.139990625792959,0.006244233458839062
2018,federal,Cessao ou locacao de veiculos,pct_despesa_tipo,16,286,0.04522776635770473,0.014878069345256293,0.030349697012448437,t_welch,2.614376913106143,0.01815295332150236
2020,municipal,Publicidade por materiais impressos,pct_despesa_tipo,1149,16201,0.33086990833811597,0.17137631383097202,0.15949359450714395,t_welch,14.798158998500732,7.19193371332833e-46
2020,municipal,Publicidade por adesivos,pct_despesa_tipo,1149,16201,0.13586187119252666,0.05302830135007924,0.08283356984244741,t_welch,10.98583993807196,7.575268481158419e-27
2020,municipal,Combustiveis e lubrificantes,pct_despesa_tipo,1149,16201,0.059678993577657616,0.021960495392407353,0.03771849818525026,t_welch,8.000177058478068,2.8493029877289636e-15
2020,municipal,"Producao de jingles, vinhetas e slogans",pct_despesa_tipo,1149,16201,0.04861939102220016,0.020686114077220923,0.02793327694497924,t_welch,6.667365991394047,3.9022700324968766e-11
2020,municipal,Servicos advocaticios,pct_despesa_tipo,1149,16201,0.03683759318613134,0.026205026549922197,0.010632566636209144,t_welch,3.1313460877356842,0.0017791005187946574
2020,municipal,Diversas a especificar,pct_despesa_tipo,1149,16201,0.018384279861914873,0.008933302670271573,0.0094509771916433,t_welch,3.084523810337716,0.002084193262121323
2020,municipal,Cessao ou locacao de veiculos,pct_despesa_tipo,1149,16201,0.01056389909254708,0.006033556278523279,0.0045303428140238,t_welch,2.5086106674670257,0.012242187106431926
2020,municipal,"Producao de programas de radio, televisao ou video",pct_despesa_tipo,1149,16201,0.006802221051735791,0.002706103551339872,0.004096117500395919,t_welch,2.7844491368887385,0.005444123111825632
2020,municipal,Publicidade por jornais e revistas,pct_despesa_tipo,1149,16201,0.006888220002840828,0.0027961444286965843,0.004092075574144243,t_welch,2.1762107879767085,0.02973088592571493
2020,municipal,Locacao/cessao de bens moveis (exceto veiculos),pct_despesa_tipo,1149,16201,0.002016253240301614,0.00030617078118334076,0.0017100824591182733,t_welch,2.31219570366509,0.020936242298960198
2020,municipal,Criacao e inclusao de paginas na internet,pct_despesa_tipo,1149,16201,0.0006011445746749005,0.0013329767692309763,-0.0007318321945560758,t_welch,-2.2972526715668273,0.021673336911915725
2020,municipal,Materiais de expediente,pct_despesa_tipo,1149,16201,0.00037739670457628317,0.001023586764414193,-0.0006461900598379097,t_welch,-2.5645499694760416,0.01035383837480267
2022,estadual,Publicidade por materiais impressos,pct_despesa_tipo,16,661,0.3185774843665492,0.1480118854696051,0.17056559889694412,t_welch,3.1382647228232976,0.006339554381567463
2022,estadual,Cessao ou locacao de veiculos,pct_despesa_tipo,16,661,0.05967326113015979,0.02395333442399188,0.035719926706167915,t_welch,2.3063911003598396,0.035068929159423876
2022,estadual,Servicos contabeis,pct_despesa_tipo,16,661,0.015537274290758907,0.032669052937445056,-0.01713177864668615,t_welch,-3.2289881972618204,0.001962605235370454
2022,estadual,Servicos proprios prestados por terceiros,pct_despesa_tipo,16,661,0.0,0.008801296443152706,-0.008801296443152706,t_welch,-3.645335197449619,0.00028805441011654634
2022,federal,Diversas a especificar,pct_despesa_tipo,11,395,0.00353914016577244,0.013781392867285353,-0.010242252701512912,t_welch,-2.4326364198597394,0.0168238105284169
2022,federal,Publicidade por carros de som,pct_despesa_tipo,11,395,0.0007332749986592525,0.010433246999064845,-0.009699972000405592,t_welch,-2.1656130716317796,0.030925383418652433
2022,federal,Criacao e inclusao de paginas na internet,pct_despesa_tipo,11,395,0.00037089474219319766,0.006341092577337646,-0.005970197835144448,t_welch,-2.352550934826718,0.019127707134010602
2022,federal,Eventos de promocao da candidatura,pct_despesa_tipo,11,395,0.0,0.002188705375947968,-0.002188705375947968,t_welch,-2.1274478385460305,0.034003387721238336
2024,municipal,Publicidade por materiais impressos,pct_despesa_tipo,1171,13093,0.3353438896735926,0.18942293620442838,0.1459209534691642,t_welch,13.48531572384998,5.5199123788989724e-39
2024,municipal,Publicidade por adesivos,pct_despesa_tipo,1171,13093,0.12936985082602812,0.052282107075266517,0.0770877437507616,t_welch,10.260751602596901,8.682431618722622e-24
2024,municipal,"Producao de jingles, vinhetas e slogans",pct_despesa_tipo,1171,13093,0.035810398143880325,0.017544860290972193,0.01826553785290813,t_welch,5.3771197979889,8.927192428457421e-08
2024,municipal,Combustiveis e lubrificantes,pct_despesa_tipo,1171,13093,0.030137876083431783,0.01787357733624703,0.012264298747184755,t_welch,3.5352818524170533,0.0004214676231919611
2024,municipal,Diversas a especificar,pct_despesa_tipo,1171,13093,0.022488571555018422,0.011941999712462424,0.010546571842555998,t_welch,3.282780714424361,0.0010551372297988707
2024,municipal,Servicos advocaticios,pct_despesa_tipo,1171,13093,0.03153885576278278,0.025673477202383024,0.005865378560399755,t_welch,2.1564960202200076,0.031210453130820656
2024,municipal,Locacao/cessao de bens imoveis,pct_despesa_tipo,1171,13093,0.004746540103553336,0.0016845353723130873,0.003062004731240248,t_welch,3.0211314534384424,0.002568790650412949
2024,municipal,Publicidade por carros de som,pct_despesa_tipo,1171,13093,0.0033686794097635433,0.001350839660804286,0.002017839748959257,t_welch,2.2088483524509868,0.027358048620973335
2024,municipal,"Impostos, contribuicoes e taxas",pct_despesa_tipo,1171,13093,4.33968521986577e-06,9.145729633291596e-05,-8.711761111305019e-05,t_welch,-1.9636268193001638,0.049594301193940225
2024,municipal,Aquisicao/Doacao de bens moveis ou imoveis,pct_despesa_tipo,1171,13093,0.0,8.33630675173462e-05,-8.33630675173462e-05,t_welch,-2.291544452615037,0.021947746701739327
