ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2018,federal,receita_pessoa_fisica,True,False,302,8690,0.0,0.0,0.0,t_welch,,
2018,federal,receita_recursos_proprios,True,False,302,8690,5605.530529801324,18435.886566168007,-12830.356036366684,t_welch,-5.9753631698326615,3.4876302813503e-09
2018,federal,receita_partido_ou_candidato,True,False,302,8690,90331.11642384106,139407.8879090909,-49076.77148524985,t_welch,-2.6709037837135754,0.007933197359525636
2018,federal,receita_estimavel,True,False,302,8690,9202.663145695366,10433.8829136939,-1231.2197679985347,t_welch,-0.6967590327407561,0.4864273593987278
2018,federal,despesa_contratada,True,False,302,8690,93790.91917218541,172984.07599424626,-79193.15682206085,t_welch,-4.239950687847385,2.8665558305805535e-05
2018,federal,despesa_paga,True,False,302,8690,0.0,0.0,0.0,t_welch,,
2018,federal,doadores_distintos,True,False,302,8690,4.841059602649007,7.222669735327963,-2.381610132678956,t_welch,-3.0263830491046266,0.00266457488563801
2018,federal,pct_receita_publica,True,False,235,7411,0.5971336135964727,0.5985848149104636,-0.001451201313990902,t_welch,-0.05240045157933072,0.9582517380880017
2018,federal,pct_receita_pessoa_fisica,True,False,235,7411,0.0,0.0,0.0,t_welch,,
2018,federal,pct_receita_recursos_proprios,True,False,235,7411,0.15892152826618092,0.14548102981092628,0.013440498455254635,t_welch,0.6731929554260746,0.5014546397847697
2018,federal,log_receita_total,True,False,302,8690,7.416387813734186,8.443343917526187,-1.026956103792001,t_welch,-3.9712861772467596,8.837313273888419e-05
2018,federal,log_despesa_contratada,True,False,302,8690,5.99106044235226,7.16040177687276,-1.1693413345205004,t_welch,-3.9746667585242115,8.702761647861267e-05
2020,municipal,receita_total,True,False,17350,501346,2766.032804034582,8234.626574920314,-5468.593770885732,t_welch,-3.8147517371770334,0.00013633615526120543
2020,municipal,receita_publica,True,False,17350,501346,1269.0229060518734,1386.7004647289498,-117.67755867707638,t_welch,-2.0727329380548634,0.038210278247829
2020,municipal,receita_pessoa_fisica,True,False,17350,501346,0.0,0.0,0.0,t_welch,,
2020,municipal,receita_recursos_proprios,True,False,17350,501346,430.8635129682997,573.3397665484516,-142.47625358015193,t_welch,-9.675726066722019,4.282304168632398e-22
2020,municipal,receita_partido_ou_candidato,True,False,17350,501346,1493.6425867435157,6569.528358718329,-5075.885771974814,t_welch,-3.5431205154949943,0.0003954577529110223
2020,municipal,receita_estimavel,True,False,17350,501346,863.9453031700288,5903.22497829842,-5039.279675128391,t_welch,-3.520134757728049,0.0004313658101470352
2020,municipal,despesa_contratada,True,False,17350,501346,1850.2414645533142,2293.436231704252,-443.19476715093765,t_welch,-6.528422148756682,6.808172932883311e-11
2020,municipal,despesa_paga,True,False,17350,501346,0.0,0.0,0.0,t_welch,,
2020,municipal,doadores_distintos,True,False,17350,501346,2.013256484149856,2.185532546385131,-0.17227606223527525,t_welch,-9.830582131796664,9.421408441527804e-23
2020,municipal,pct_receita_publica,True,False,13361,407345,0.3178802680700063,0.31015890209416713,0.007721365975839167,t_welch,2.124608771769196,0.03363647960213168
2020,municipal,pct_receita_pessoa_fisica,True,False,13361,407345,0.0,0.0,0.0,t_welch,,
2020,municipal,pct_receita_recursos_proprios,True,False,13361,407345,0.22604235680760268,0.24404008707168698,-0.0179977302640843,t_welch,-5.839606057286444,5.346455323818548e-09
2020,municipal,log_receita_total,True,False,17350,501346,5.4900795123985615,5.895915586580011,-0.4058360741814493,t_welch,-16.199402613345622,1.2917216836122594e-58
2020,municipal,log_despesa_contratada,True,False,17350,501346,3.6854554401460122,4.1303280140165475,-0.44487257387053525,t_welch,-15.564309343039305,2.800623917929647e-54
2022,estadual,receita_total,True,False,677,16670,59363.316085672086,105475.69869946012,-46112.38261378803,t_welch,-8.415189842520624,1.798737830628947e-16
2022,estadual,receita_publica,True,False,677,16670,49577.36775480059,77609.84612057588,-28032.478365775292,t_welch,-5.6689023238311265,2.0277565543268693e-08
2022,estadual,receita_pessoa_fisica,True,False,677,16670,0.0,0.0,0.0,t_welch,,
2022,estadual,receita_recursos_proprios,True,False,677,16670,2512.2285819793206,5985.08649310138,-3472.8579111220597,t_welch,-7.022328159346507,4.4634182764294786e-12
2022,estadual,receita_partido_ou_candidato,True,False,677,16670,50842.13330871492,81021.9753419316,-30179.84203321668,t_welch,-6.048226490946752,2.273270536324591e-09
2022,estadual,receita_estimavel,True,False,677,16670,8058.629571639587,10589.62026874625,-2530.990697106663,t_welch,-2.915478827371631,0.0036550791941478084
2022,estadual,despesa_contratada,True,False,677,16670,51793.153648449035,95365.0796244751,-43571.92597602606,t_welch,-8.352374922115054,2.9377104104639194e-16
2022,estadual,despesa_paga,True,False,677,16670,0.0,0.0,0.0,t_welch,,
2022,estadual,doadores_distintos,True,False,677,16670,3.2703101920236337,5.283503299340132,-2.013193107316498,t_welch,-7.486947496717211,1.62219514985024e-13
2022,estadual,pct_receita_publica,True,False,536,14006,0.7876387410104557,0.7410179056810163,0.04662083532943939,t_welch,3.048233475033475,0.00240662294125369
