ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo,n_grupos_validos,teste,estatistica,p_valor
2022,federal,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,25.20273396096515,1.2019630130179667e-11
2022,federal,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,1.4627463343198888,0.2316449350941694
2022,federal,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,28.795696326735616,3.3666700243017475e-13
2022,federal,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2022,federal,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,8.532500412762415,0.00019828409063025492
2022,federal,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,0.6079127671145471,0.54450746067279
2022,federal,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2022,federal,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,2.3306049670130715,0.09729283361047134
2022,federal,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,16.381201292500776,7.878335080593712e-08
2022,federal,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,21.30544052717699,5.824427583594556e-10
2024,municipal,receita_total,grupo_religiao_resultado,3,anova_um_fator,72.41220165476427,3.606203613820824e-32
2024,municipal,receita_publica,grupo_religiao_resultado,3,anova_um_fator,42.34151370017546,4.103138853003113e-19
2024,municipal,receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2024,municipal,receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,85.2058417395207,1.0066286661710006e-37
2024,municipal,receita_partido_ou_candidato,grupo_religiao_resultado,3,anova_um_fator,41.1173066965231,1.3953394517713078e-18
2024,municipal,receita_estimavel,grupo_religiao_resultado,3,anova_um_fator,73.17052905323798,1.6897551569064184e-32
2024,municipal,despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,62.6978943168054,5.951156158682843e-28
2024,municipal,despesa_paga,grupo_religiao_resultado,3,anova_um_fator,,
2024,municipal,doadores_distintos,grupo_religiao_resultado,3,anova_um_fator,139.6365842531531,2.3779031702620142e-61
2024,municipal,pct_receita_publica,grupo_religiao_resultado,3,anova_um_fator,16.100511218803298,1.0184670642394717e-07
2024,municipal,pct_receita_pessoa_fisica,grupo_religiao_resultado,3,anova_um_fator,,
2024,municipal,pct_receita_recursos_proprios,grupo_religiao_resultado,3,anova_um_fator,30.478341480116352,5.814814876136002e-14
2024,municipal,log_receita_total,grupo_religiao_resultado,3,anova_um_fator,305.0634129156125,4.0374471488215175e-133
2024,municipal,log_despesa_contratada,grupo_religiao_resultado,3,anova_um_fator,323.9853624037707,2.5139488931257942e-141
