comparacao,ANO_ELEICAO_ANALISE,ESFERA,tipo_despesa,variavel,teste,n_grupos_validos,estatistica,p_valor
cristaos_direita_centro_esquerda,2012,municipal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",valor_despesa,anova_um_fator,3,0.6355231469755147,0.5296759456639181
cristaos_direita_centro_esquerda,2012,municipal,"Baixa de Estimaveis - Producao de programas de radio, televisao ou video",pct_despesa_tipo,anova_um_fator,3,2.493871749080962,0.08263188752683537
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Alimentacao,valor_despesa,anova_um_fator,3,0.04147148465265813,0.9593768278149319
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Alimentacao,pct_despesa_tipo,anova_um_fator,3,2.089507369087767,0.12379258193628212
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Despesas com pessoal,valor_despesa,anova_um_fator,3,4.775302985451245,0.008451378238389795
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Despesas com pessoal,pct_despesa_tipo,anova_um_fator,3,4.479719421446995,0.011355338060365127
cristaos_direita_centro_esquerda,2012,municipal,Bens permanentes,valor_despesa,anova_um_fator,3,0.8819349371155886,0.41400762864671087
cristaos_direita_centro_esquerda,2012,municipal,Bens permanentes,pct_despesa_tipo,anova_um_fator,3,0.5699849068722825,0.5655491067731657
cristaos_direita_centro_esquerda,2012,municipal,Telefone,valor_despesa,anova_um_fator,3,0.026146307532448565,0.974192602327953
cristaos_direita_centro_esquerda,2012,municipal,Telefone,pct_despesa_tipo,anova_um_fator,3,1.0227431940046667,0.35963809349524906
cristaos_direita_centro_esquerda,2012,municipal,"Producao de jingles, vinhetas e slogans",valor_despesa,anova_um_fator,3,1.6310013482655852,0.1957763619715842
cristaos_direita_centro_esquerda,2012,municipal,"Producao de jingles, vinhetas e slogans",pct_despesa_tipo,anova_um_fator,3,2.338086589428053,0.09655558351062152
cristaos_direita_centro_esquerda,2012,municipal,Servicos prestados por terceiros,valor_despesa,anova_um_fator,3,0.573432438248354,0.5636028985076997
cristaos_direita_centro_esquerda,2012,municipal,Servicos prestados por terceiros,pct_despesa_tipo,anova_um_fator,3,0.5320409010274167,0.5874186049189074
cristaos_direita_centro_esquerda,2012,municipal,Comicios,valor_despesa,anova_um_fator,3,0.7373078043183612,0.4784215496241637
cristaos_direita_centro_esquerda,2012,municipal,Comicios,pct_despesa_tipo,anova_um_fator,3,0.5338614405799795,0.5863502526930421
cristaos_direita_centro_esquerda,2012,municipal,Publicidade por jornais e revistas,valor_despesa,anova_um_fator,3,0.46588631248522994,0.6275898468748313
cristaos_direita_centro_esquerda,2012,municipal,Publicidade por jornais e revistas,pct_despesa_tipo,anova_um_fator,3,0.4859836774836977,0.6151038120017192
cristaos_direita_centro_esquerda,2012,municipal,Publicidade por carros de som,valor_despesa,anova_um_fator,3,2.0520401708087217,0.128517086004673
cristaos_direita_centro_esquerda,2012,municipal,Publicidade por carros de som,pct_despesa_tipo,anova_um_fator,3,0.5118564165569566,0.5993947767629604
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por jornais e revistas,valor_despesa,anova_um_fator,3,1.9089822254624105,0.1482756658243875
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por jornais e revistas,pct_despesa_tipo,anova_um_fator,3,0.32373084047320727,0.7234511828879145
cristaos_direita_centro_esquerda,2012,municipal,"Baixa de Estimaveis - Impostos, contribuicoes e taxas",valor_despesa,anova_um_fator,3,0.5973758900782796,0.5502698420242167
cristaos_direita_centro_esquerda,2012,municipal,"Baixa de Estimaveis - Impostos, contribuicoes e taxas",pct_despesa_tipo,anova_um_fator,3,0.5973758900782802,0.5502698420242165
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Despesas com transporte ou deslocamento,valor_despesa,anova_um_fator,3,0.8350012064602459,0.4338988726990504
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Despesas com transporte ou deslocamento,pct_despesa_tipo,anova_um_fator,3,0.0952318070387428,0.9091628389717098
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Encargos sociais,valor_despesa,anova_um_fator,3,2.0592163935979855,0.12759843002502316
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Encargos sociais,pct_despesa_tipo,anova_um_fator,3,1.6635127509763836,0.18951542401750973
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Telefone,valor_despesa,anova_um_fator,3,0.7548823615953598,0.47008797088354803
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Telefone,pct_despesa_tipo,anova_um_fator,3,1.6095395908595955,0.2000223335440831
cristaos_direita_centro_esquerda,2012,municipal,Criacao e inclusao de paginas na internet,valor_despesa,anova_um_fator,3,3.5029873071556965,0.030137742324766032
cristaos_direita_centro_esquerda,2012,municipal,Criacao e inclusao de paginas na internet,pct_despesa_tipo,anova_um_fator,3,1.5770684193747349,0.2066221326875456
cristaos_direita_centro_esquerda,2012,municipal,Alimentacao,valor_despesa,anova_um_fator,3,3.0627631123122256,0.04679444682484281
cristaos_direita_centro_esquerda,2012,municipal,Alimentacao,pct_despesa_tipo,anova_um_fator,3,1.2171136696567812,0.29611965322178674
cristaos_direita_centro_esquerda,2012,municipal,Correspondencias e despesas postais,valor_despesa,anova_um_fator,3,0.4540497021931404,0.6350619521120252
cristaos_direita_centro_esquerda,2012,municipal,Correspondencias e despesas postais,pct_despesa_tipo,anova_um_fator,3,1.9646686322087403,0.140246908701533
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por telemarketing,valor_despesa,anova_um_fator,3,1.0524240296876994,0.3491223614122905
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Publicidade por telemarketing,pct_despesa_tipo,anova_um_fator,3,0.6579712302076839,0.51791943765035
cristaos_direita_centro_esquerda,2012,municipal,Energia eletrica,valor_despesa,anova_um_fator,3,1.1118913805109236,0.32896972154591003
cristaos_direita_centro_esquerda,2012,municipal,Energia eletrica,pct_despesa_tipo,anova_um_fator,3,0.441281951009008,0.6432216429845505
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Criacao e inclusao de paginas na internet,valor_despesa,anova_um_fator,3,5.723469962610117,0.003277174967485669
cristaos_direita_centro_esquerda,2012,municipal,Baixa de Estimaveis - Criacao e inclusao de paginas na internet,pct_despesa_tipo,anova_um_fator,3,3.0170468603345437,0.048982246128561016
cristaos_direita_centro_esquerda,2012,municipal,Eventos de promocao da candidatura,valor_despesa,anova_um_fator,3,1.7849617860275833,0.16784750610299776
cristaos_direita_centro_esquerda,2012,municipal,Eventos de promocao da candidatura,pct_despesa_tipo,anova_um_fator,3,0.024549519332226048,0.9757494177008946
cristaos_direita_centro_esquerda,2012,municipal,Locacao/cessao de bens imoveis,valor_despesa,anova_um_fator,3,0.6821627746151865,0.5055418528424481
