ANO_ELEICAO_ANALISE,ESFERA,variavel,grupo_a,grupo_b,n_a,n_b,media_a,media_b,diferenca_media,teste,estatistica,p_valor
2020,municipal,receita_partido_ou_candidato,direita,esquerda,9981,4172,1708.778239655345,1219.3977756471718,489.38046400817325,t_welch,4.480648008489088,7.500024232167207e-06
2020,municipal,receita_estimavel,direita,esquerda,9981,4172,897.2174932371505,802.1654793863854,95.05201385076509,t_welch,2.2457298318267913,0.024744148372140673
2020,municipal,despesa_contratada,direita,esquerda,9981,4172,2150.7308586313998,1444.7074376797698,706.02342095163,t_welch,5.463069184170722,4.759158674385575e-08
2020,municipal,despesa_paga,direita,esquerda,9981,4172,0.0,0.0,0.0,t_welch,,
2020,municipal,doadores_distintos,direita,esquerda,9981,4172,2.0367698627392046,1.987535953978907,0.04923390876029754,t_welch,1.2301995834820594,0.2186550033198476
2020,municipal,pct_receita_publica,direita,esquerda,7721,3289,0.30031863182312296,0.37643818940828844,-0.07611955758516548,t_welch,-8.675025040542225,5.261741159810626e-18
2020,municipal,pct_receita_pessoa_fisica,direita,esquerda,7721,3289,0.0,0.0,0.0,t_welch,,
2020,municipal,log_receita_total,direita,esquerda,9981,4172,5.538993852497713,5.592245557499454,-0.05325170500174092,t_welch,-0.9118249271487294,0.36188796038685295
2022,estadual,receita_total,direita,esquerda,371,129,74909.12571428572,63169.61984496124,11739.50586932448,t_welch,0.9552683105538806,0.3400793493493503
2022,estadual,receita_publica,direita,esquerda,371,129,64105.86218328841,50606.810930232554,13499.051253055855,t_welch,1.2772030071537337,0.20222317639034118
2022,estadual,receita_pessoa_fisica,direita,esquerda,371,129,0.0,0.0,0.0,t_welch,,
2022,estadual,receita_recursos_proprios,direita,esquerda,371,129,2429.545013477089,3678.1346511627908,-1248.5896376857017,t_welch,-0.8837235056540512,0.3779791385044315
2022,estadual,receita_partido_ou_candidato,direita,esquerda,371,129,65886.6671967655,51621.48341085271,14265.183785912792,t_welch,1.338838779242369,0.1813340331258021
2022,estadual,receita_estimavel,direita,esquerda,371,129,9673.426603773585,9690.383333333333,-16.956729559748055,t_welch,-0.008865704329477819,0.9929308232431383
2022,estadual,despesa_contratada,direita,esquerda,371,129,65881.77547169811,54325.49232558139,11556.283146116722,t_welch,0.9871182512765867,0.3242299652828155
2022,estadual,despesa_paga,direita,esquerda,371,129,0.0,0.0,0.0,t_welch,,
2022,estadual,doadores_distintos,direita,esquerda,371,129,3.5309973045822103,3.852713178294574,-0.32171587371236354,t_welch,-0.4372239270317343,0.6624068578408899
2022,estadual,pct_receita_publica,direita,esquerda,306,120,0.7540482501336814,0.866113053182993,-0.11206480304931166,t_welch,-3.6401288085246652,0.00031566945762207004
2022,estadual,pct_receita_pessoa_fisica,direita,esquerda,306,120,0.0,0.0,0.0,t_welch,,
2022,estadual,log_receita_total,direita,esquerda,371,129,8.367234018360381,9.702382118864094,-1.3351481005037122,t_welch,-3.9872389059231637,8.27208516827514e-05
2022,federal,receita_total,direita,esquerda,227,64,258023.75185022026,248177.2959375,9846.455912720266,t_welch,0.13029784044665566,0.8965890775013693
2022,federal,receita_publica,direita,esquerda,227,64,244953.07405286343,229709.84281250002,15243.231240363413,t_welch,0.21911409708382323,0.8269786165275472
2022,federal,receita_pessoa_fisica,direita,esquerda,227,64,0.0,0.0,0.0,t_welch,,
2022,federal,receita_recursos_proprios,direita,esquerda,227,64,1180.5574889867842,2597.29609375,-1416.738604763216,t_welch,-1.0088594620990032,0.31616265392962406
2022,federal,receita_partido_ou_candidato,direita,esquerda,227,64,250322.7471365639,231499.22453125002,18823.52260531389,t_welch,0.26652832500657825,0.7903393285022043
2022,federal,receita_estimavel,direita,esquerda,227,64,11447.093612334802,19649.407656249998,-8202.314043915196,t_welch,-1.1101693470122915,0.2702125042962633
2022,federal,despesa_contratada,direita,esquerda,227,64,248752.7125110132,229778.42359375,18974.288917263213,t_welch,0.2654145373349817,0.7912142314086045
2022,federal,despesa_paga,direita,esquerda,227,64,0.0,0.0,0.0,t_welch,,
2022,federal,doadores_distintos,direita,esquerda,227,64,2.8237885462555066,4.734375,-1.9105864537444934,t_welch,-1.644377282124193,0.10463165292139007
2022,federal,pct_receita_publica,direita,esquerda,196,56,0.8398847561839669,0.9197461801714554,-0.07986142398748852,t_welch,-2.341210214272625,0.020479688249610065
2022,federal,pct_receita_pessoa_fisica,direita,esquerda,196,56,0.0,0.0,0.0,t_welch,,
2022,federal,log_receita_total,direita,esquerda,227,64,9.368422157966732,9.871166340956096,-0.502744182989364,t_welch,-0.8698455019568022,0.38634704093133365
2024,municipal,receita_total,direita,esquerda,8262,3178,8334.781324134592,5187.876145374449,3146.905178760143,t_welch,4.64792955833277,3.3910885227875595e-06
2024,municipal,receita_publica,direita,esquerda,8262,3178,6245.115660856935,3467.2418250472,2777.8738358097353,t_welch,4.332549474625613,1.4874941927890168e-05
2024,municipal,receita_pessoa_fisica,direita,esquerda,8262,3178,0.0,0.0,0.0,t_welch,,
2024,municipal,receita_recursos_proprios,direita,esquerda,8262,3178,507.21966836117167,454.6048300818125,52.61483827935916,t_welch,1.1237293043217198,0.26118476649707034
2024,municipal,receita_partido_ou_candidato,direita,esquerda,8262,3178,6612.366396756233,3757.159493392071,2855.2069033641624,t_welch,4.442044097224561,9.001024198648398e-06
2024,municipal,receita_estimavel,direita,esquerda,8262,3178,1280.3277099975792,1171.1464505978604,109.18125939971878,t_welch,1.4897472169613806,0.13632483084014585
2024,municipal,despesa_contratada,direita,esquerda,8262,3178,6986.0788973614135,3937.170066079295,3048.9088312821186,t_welch,4.783539430545384,1.7444715581454217e-06
2024,municipal,despesa_paga,direita,esquerda,8262,3178,0.0,0.0,0.0,t_welch,,
2024,municipal,doadores_distintos,direita,esquerda,8262,3178,2.075526506899056,1.9436752674638138,0.13185123943524224,t_welch,3.151194709205758,0.0016318756623883916
2024,municipal,pct_receita_publica,direita,esquerda,6756,2587,0.4240983927008938,0.4680726564081162,-0.043974263707222405,t_welch,-4.2851922170852745,1.862288814507561e-05
2024,municipal,pct_receita_pessoa_fisica,direita,esquerda,6756,2587,0.0,0.0,0.0,t_welch,,
2024,municipal,log_receita_total,direita,esquerda,8262,3178,6.407596917843386,6.26213670580492,0.14546021203846582,t_welch,2.1255564140035754,0.03358139561830708
