ANO_ELEICAO_ANALISE,ESFERA,SG_UF,grupo_religioso,votos,total_recorte,pct_votos,comparacao,codarea
2018,estadual,RR,Direita,751,3802,0.19752761704366123,cristaos_direita_vs_esquerda,14
2018,estadual,RR,Esquerda,3051,3802,0.8024723829563387,cristaos_direita_vs_esquerda,14
2018,estadual,RS,Direita,25500,28399,0.8979189408077749,cristaos_direita_vs_esquerda,43
2018,estadual,RS,Esquerda,2899,28399,0.10208105919222508,cristaos_direita_vs_esquerda,43
2018,estadual,SC,Direita,7572,42756,0.1770979511647488,cristaos_direita_vs_esquerda,42
2018,estadual,SC,Esquerda,35184,42756,0.8229020488352512,cristaos_direita_vs_esquerda,42
2018,estadual,SE,Direita,20583,22733,0.9054238331940351,cristaos_direita_vs_esquerda,28
2018,estadual,SE,Esquerda,2150,22733,0.0945761668059649,cristaos_direita_vs_esquerda,28
2018,estadual,SP,Direita,145675,226899,0.6420257471385947,cristaos_direita_vs_esquerda,35
2018,estadual,SP,Esquerda,81224,226899,0.3579742528614053,cristaos_direita_vs_esquerda,35
2018,estadual,TO,Direita,6772,15947,0.4246566752367216,cristaos_direita_vs_esquerda,17
2018,estadual,TO,Esquerda,9175,15947,0.5753433247632783,cristaos_direita_vs_esquerda,17
2018,federal,AC,Direita,5,9927,0.0005036768409388536,cristaos_direita_vs_esquerda,12
2018,federal,AC,Esquerda,9922,9927,0.9994963231590611,cristaos_direita_vs_esquerda,12
2018,federal,AL,Direita,1481,1481,1.0,cristaos_direita_vs_esquerda,27
2018,federal,AM,Direita,5234,6481,0.8075914210769943,cristaos_direita_vs_esquerda,13
2018,federal,AM,Esquerda,1247,6481,0.1924085789230057,cristaos_direita_vs_esquerda,13
2018,federal,AP,Direita,6747,7179,0.9398244880902633,cristaos_direita_vs_esquerda,16
2018,federal,AP,Esquerda,432,7179,0.06017551190973673,cristaos_direita_vs_esquerda,16
2018,federal,BA,Direita,30139,52256,0.5767567360685855,cristaos_direita_vs_esquerda,29
2018,federal,BA,Esquerda,22117,52256,0.4232432639314146,cristaos_direita_vs_esquerda,29
2018,federal,CE,Direita,336740,487384,0.6909131198397978,cristaos_direita_vs_esquerda,23
2018,federal,CE,Esquerda,150644,487384,0.30908688016020225,cristaos_direita_vs_esquerda,23
2018,federal,ES,Direita,53860,61406,0.8771129857017229,cristaos_direita_vs_esquerda,32
2018,federal,ES,Esquerda,7546,61406,0.12288701429827704,cristaos_direita_vs_esquerda,32
2018,federal,MA,Direita,10212,10212,1.0,cristaos_direita_vs_esquerda,21
2018,federal,MG,Direita,133803,279351,0.4789780598601759,cristaos_direita_vs_esquerda,31
2018,federal,MG,Esquerda,145548,279351,0.5210219401398241,cristaos_direita_vs_esquerda,31
