ANO_ELEICAO_ANALISE,ESFERA,SG_UF,codigo_ibge_municipio,municipio_ibge,grupo_religioso,votos,total_recorte,pct_votos,comparacao
2012,municipal,BA,2902005,Aracatu,Não cristãos,9315,9491,0.9814561163207249,cristaos_vs_nao_cristaos
2012,municipal,BA,2902054,Araças,Cristãos,1163,7570,0.1536327608982827,cristaos_vs_nao_cristaos
2012,municipal,BA,2902054,Araças,Não cristãos,6407,7570,0.8463672391017173,cristaos_vs_nao_cristaos
2012,municipal,BA,2902104,Araci,Cristãos,961,26072,0.03685946609389383,cristaos_vs_nao_cristaos
2012,municipal,BA,2902104,Araci,Não cristãos,25111,26072,0.9631405339061062,cristaos_vs_nao_cristaos
2012,municipal,BA,2902203,Aramari,Cristãos,597,6266,0.0952760932014044,cristaos_vs_nao_cristaos
2012,municipal,BA,2902203,Aramari,Não cristãos,5669,6266,0.9047239067985956,cristaos_vs_nao_cristaos
2012,municipal,BA,2902252,Arataca,Cristãos,291,4728,0.061548223350253804,cristaos_vs_nao_cristaos
2012,municipal,BA,2902252,Arataca,Não cristãos,4437,4728,0.9384517766497462,cristaos_vs_nao_cristaos
2012,municipal,BA,2902302,Aratuípe,Cristãos,762,5876,0.12968005445881553,cristaos_vs_nao_cristaos
2012,municipal,BA,2902302,Aratuípe,Não cristãos,5114,5876,0.8703199455411845,cristaos_vs_nao_cristaos
2012,municipal,BA,2902401,Aurelino Leal,Cristãos,750,6973,0.10755772264448588,cristaos_vs_nao_cristaos
2012,municipal,BA,2902401,Aurelino Leal,Não cristãos,6223,6973,0.8924422773555142,cristaos_vs_nao_cristaos
2012,municipal,BA,2902500,Baianópolis,Cristãos,664,8776,0.07566089334548769,cristaos_vs_nao_cristaos
2012,municipal,BA,2902500,Baianópolis,Não cristãos,8112,8776,0.9243391066545124,cristaos_vs_nao_cristaos
2012,municipal,BA,2902609,Baixa Grande,Cristãos,89,10513,0.00846570912203938,cristaos_vs_nao_cristaos
2012,municipal,BA,2902609,Baixa Grande,Não cristãos,10424,10513,0.9915342908779606,cristaos_vs_nao_cristaos
2012,municipal,BA,2902658,Banzaê,Cristãos,58,6861,0.00845357819559831,cristaos_vs_nao_cristaos
2012,municipal,BA,2902658,Banzaê,Não cristãos,6803,6861,0.9915464218044017,cristaos_vs_nao_cristaos
2012,municipal,BA,2902708,Barra,Cristãos,2493,22433,0.11113092319350956,cristaos_vs_nao_cristaos
2012,municipal,BA,2902708,Barra,Não cristãos,19940,22433,0.8888690768064904,cristaos_vs_nao_cristaos
